日付,体重(kg),体脂肪率(%),骨格筋量(kg),体脂肪量(kg),BMI,基礎代謝量(kcal),内臓脂肪レベル
2024-01-10,75.2,22.5,33.8,16.9,24.1,1720,9
2024-02-05,74.8,22.1,33.9,16.5,24.0,1725,9
2024-03-12,74.1,21.8,34.0,16.1,23.8,1730,8
2024-04-08,73.5,21.2,34.2,15.6,23.6,1740,8
2024-05-15,73.0,20.9,34.3,15.3,23.4,1745,8
2024-06-20,72.8,20.5,34.4,14.9,23.3,1750,7
2024-07-11,72.3,20.1,34.6,14.5,23.2,1758,7
2024-08-07,71.9,19.8,34.7,14.2,23.0,1763,7
2024-09-18,71.5,19.5,34.8,13.9,22.9,1768,6
2024-10-03,71.2,19.3,34.9,13.7,22.8,1772,6
2024-11-14,70.9,19.0,35.0,13.5,22.7,1778,6
2024-12-20,71.3,19.2,35.0,13.7,22.8,1775,6
2025-01-09,70.7,18.8,35.2,13.3,22.6,1782,6
2025-02-06,70.4,18.5,35.3,13.0,22.5,1787,5
2025-03-13,70.0,18.2,35.5,12.7,22.4,1793,5
